title,make,model,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR,VXR,VXL
Honda Civic Oriel 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Grey,1500,local,automatic,605000,0,0
Toyota Surf SSR-X 3.4 2004,Toyota,Surf,2004,125000,unknownLocation,Petrol,Islamabad,Silver,3400,Imported,automatic,550000,0,0
Honda Civic Oriel Prosmatec UG 2015,Honda,Civic,2015,160000,unknownLocation,Petrol,Islamabad,White,1800,local,automatic,297500,0,0
Toyota C-HR 2017,Toyota,C-HR,2017,5000,unknownLocation,CompressedNaturalGas,Un-Registered,White,1800,Imported,automatic,669500,0,0
Suzuki Swift DLX 1.3 2019,Suzuki,Swift,2019,31000,unknownLocation,Petrol,Gujar Khan,White,1300,local,unknown,198000,0,0
Honda Civic VTi 1.8 i-VTEC 2007,Honda,Civic,2007,195000,unknownLocation,Petrol,Lahore,Green,1800,local,unknown,145000,0,0
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,2022,5,unknownLocation,Petrol,Un-Registered,Silver,1500,local,automatic,300000,0,0
Toyota Aqua G 2013,Toyota,Aqua,2013,110646,unknownLocation,CompressedNaturalGas,Karachi,White,1500,Imported,automatic,255000,0,0
Suzuki Cultus VXRi 2010,Suzuki,Cultus,2010,150000,unknownLocation,Petrol,Lahore,Silver,1000,local,unknown,88000,1,0
Mercedes Benz E Class E200 2006,Mercedes,Benz,2006,95000,827-C Faisal Town Molana Shaukat Ali Road,Petrol,Lahore,Black,1800,Imported,automatic,360000,0,0
Suzuki Wagon R 2014,Suzuki,Wagon,2014,69000,unknownLocation,Petrol,Karachi,Burgundy,660,Imported,automatic,155000,0,0
Honda City Aspire 1.3 i-VTEC 2016,Honda,City,2016,90000,G/11 Markaz Near Punjab Bank Islamabad,Petrol,Islamabad,White,1300,local,unknown,229500,0,0
Toyota Corolla GLi 1.3 VVTi 2015,Toyota,Corolla,2015,26000,unknownLocation,Petrol,Islamabad,Grey,1300,local,unknown,295000,0,0
Toyota Prado TX 2.7 2003,Toyota,Prado,2003,125000,Main Boulevard DHA Lahore,Petrol,Lahore,Silver,2700,Imported,automatic,580000,0,0
