title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Toyota Aqua G 2013,Toyota,Aqua,G    ,2013,110846,,,Karachi,White,1500,Imported,Automatic,255000
Toyota Prado TZ 3.4 2004,Toyota,Prado,TZ 3.4   ,2004,130000,,Petrol,Lahore,White,3400,Imported,Automatic,800000
Toyota Belta X S Package 1.0 2012,Toyota,Belta,X S Package 1 ,2012,170000,,Petrol,Karachi,White,1000,Imported,Automatic,155000
Toyota Hilux Revo V Automatic 2.8 2022,Toyota,Hilux,Revo V Automatic 2.8 ,2022,10,,,Un-Registered,Black,2800,,Automatic,920000
MG HS 1.5 Turbo 2020,MG,HS,1.5 Turbo   ,2020,5000,"22/23 Johar Town, Moulana Shaukat Ali Road",Petrol,Lahore,White,1500,Imported,Automatic,615000
Honda Civic VTi Prosmatec 1.8 i-VTEC 2014,Honda,Civic,VTi Prosmatec 1.8 i-VTEC ,2014,97000,,Petrol,Karachi,White,1800,,Automatic,260000
Toyota Hilux D-4D Automatic 2006,Toyota,Hilux,D-4D Automatic   ,2006,118000,827-C Faisal Town Molana Shaukat Ali Road,,Karachi,Black,3000,Imported,Automatic,348000
Suzuki Wagon R VXR 2015,Suzuki,Wagon,R VXR   ,2015,129000,,Petrol,Islamabad,White,1000,,,152500
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,Honda,Civic,VTi Oriel Prosmatec 1.8 i-VTEC,2014,86000,,Petrol,Karachi,Black,1800,,Automatic,246500
Honda Civic Oriel 2022,Honda,Civic,Oriel    ,2022,5,,Petrol,Un-Registered,Grey,1500,,Automatic,605000
Toyota Surf SSR-X 3.4 2004,Toyota,Surf,SSR-X 3.4   ,2004,125000,,Petrol,Islamabad,Silver,3400,Imported,Automatic,550000
Honda Civic Oriel Prosmatec UG 2015,Honda,Civic,Oriel Prosmatec UG  ,2015,160000,,Petrol,Islamabad,White,1800,,Automatic,297500
Toyota C-HR 2017,Toyota,C-HR,    ,2017,5000,,,Un-Registered,White,1800,Imported,Automatic,669500
Suzuki Swift DLX 1.3 2019,Suzuki,Swift,DLX 1.3   ,2019,31000,,Petrol,Gujar Khan,White,1300,,,198000
Honda Civic VTi 1.8 i-VTEC 2007,Honda,Civic,VTi 1.8 i-VTEC  ,2007,195000,,Petrol,Lahore,Green,1800,,,145000
