web-scraper-order,web-scraper-start-url,links,links-href,title,make,trim,year,model,mileage,location,registeryear,fueltype,registeredcity,grade,color,noofownerandaccident,price,pages,pages-href,Automatic,assembly
"1648984967-191","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXL 2018
                                    
                                    
                                                                                2018 
                                                                                                                        Cultus 
                                                                                                                        46,272 
                                                                            
                                    
                                                                              PKR 1,930,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2018-1-0-vxl-pk-1173975?car=warranty","Suzuki Cultus 1.0 VXL 2018","Suzuki","1.0 VXL","2018","Cultus","46,272","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2018","Petrol","Karachi","B","Grey","2 Owner 

                            0 Accident","PKR 1,930,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648984858-148","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC Oriel Prosmatec UG-Reborn 2012
                                    
                                    
                                                                                2012 
                                                                                                                        Civic 
                                                                                                                        80,012 
                                                                            
                                    
                                                                              PKR 2,000,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-civic-2012-1-8-i-vtec-oriel-prosmatec-ug-reborn-pk-1172895","Honda Civic 1.8 i-VTEC Oriel Prosmatec UG-Reborn 2012","Honda","1.8 i-VTEC Oriel Prosmatec UG-Reborn","2012","Civic","80,012","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2012","Petrol","Karachi","B","White","5 Owner 

                            0 Accident","PKR 2,000,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984907-168","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc F 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Alto 
                                                                                                                        70,407 
                                                                            
                                    
                                                                              PKR 1,480,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2014-660cc-f-pk-1174584","Suzuki Alto 660cc F 2014","Suzuki","660cc F","2014","Alto","70,407","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2017","Petrol","Karachi","C","Brown","2 Owner 

                            0 Accident","PKR 1,480,000","6","https://buy.carfirst.com/used-cars?page=6","automatic","Assembly"
"1648985002-205","https://buy.carfirst.com/used-cars","Suzuki Mehran 800cc VX 2004
                                    
                                    
                                                                                2004 
                                                                                                                        Mehran 
                                                                                                                        96,731 
                                                                            
                                    
                                                                              PKR 250,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Islamabad Ware House
                                                                                                                        , Islamabad","https://buy.carfirst.com/used-cars/suzuki-mehran-2004-800cc-vx-pk-1172901","Suzuki Mehran 800cc VX 2004","Suzuki","800cc VX","2004","Mehran","96,731","94 Street 7, I-10/3 I 10/3 I-10, Islamabad, Pakistan, Islamabad","2004","PetrolCompressedNaturalGas","Karachi","D","White","6 Owner 

                            0 Accident","PKR 250,000","3","https://buy.carfirst.com/used-cars?page=3","manual","Assembly"
"1648985033-217","https://buy.carfirst.com/used-cars","Suzuki Swift 1.3 DX 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Swift 
                                                                                                                        102,052 
                                                                            
                                    
                                                                              PKR 1,460,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/suzuki-swift-2015-1-3-dx-pk-1129511","Suzuki Swift 1.3 DX 2015","Suzuki","1.3 DX","2015","Swift","102,052","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","Petrol","","C","White","null","1 Owner 

                            0 Accident","PKR 1,460,000","2","https://buy.carfirst.com/used-cars?page=2","manual","Registered City
                              
                              
                                Peshawar"
"1648984818-132","https://buy.carfirst.com/used-cars","Honda City 1.3 i-DSI 2005
                                    
                                    
                                                                                2005 
                                                                                                                        City 
                                                                                                                        441,116 
                                                                            
                                    
                                                                              PKR 1,100,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-city-2005-1-3-i-dsi-pk-966524","Honda City 1.3 i-DSI 2005","Honda","1.3 i-DSI","2005","City","441,116","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2005","Petrol","Islamabad","C","Silver","3 Owner 

                            0 Accident","PKR 1,100,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Assembly"
"1648984823-134","https://buy.carfirst.com/used-cars","Honda City 1.3 i-VTEC 2018
                                    
                                    
                                                                                2018 
                                                                                                                        City 
                                                                                                                        87,345 
                                                                            
                                    
                                                                              PKR 2,400,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-city-2018-1-3-i-vtec-pk-1175496?car=warranty","Honda City 1.3 i-VTEC 2018","Honda","1.3 i-VTEC","2018","City","87,345","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2018","Petrol","Lahore","C","White","1 Owner 

                            0 Accident","PKR 2,400,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Assembly"
"1648984797-124","https://buy.carfirst.com/used-cars","Daihatsu Cuore 850cc CX Eco 2008
                                    
                                    
                                                                                2008 
                                                                                                                        Cuore 
                                                                                                                        118,457 
                                                                            
                                    
                                                                              PKR 630,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/daihatsu-cuore-2008-850cc-cx-eco-pk-1167721","Daihatsu Cuore 850cc CX Eco 2008","Daihatsu","850cc CX Eco","2008","Cuore","118,457","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","PetrolCompressedNaturalGas","Karachi","D","Gold","1 Owner 

                            0 Accident","PKR 630,000","9","https://buy.carfirst.com/used-cars?page=9","manual","Assembly"
"1648984929-176","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2021
                                    
                                    
                                                                                2021 
                                                                                                                        Alto 
                                                                                                                        13,417 
                                                                            
                                    
                                                                              PKR 1,750,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2021-660cc-vxr-pk-1175200?car=warranty","Suzuki Alto 660cc VXR 2021","Suzuki","660cc VXR","2021","Alto","13,417","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","A","White","1 Owner 

                            0 Accident","PKR 1,750,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
"1648984993-201","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXR Euro II 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Cultus 
                                                                                                                        94,393 
                                                                            
                                    
                                                                              PKR 1,180,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2015-1-0-vxr-euro-ii-pk-1173728","Suzuki Cultus 1.0 VXR Euro II 2015","Suzuki","1.0 VXR Euro II","2015","Cultus","94,393","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2015","Petrol","Karachi","C","White","1 Owner 

                            0 Accident","PKR 1,180,000","3","https://buy.carfirst.com/used-cars?page=3","manual","Assembly"
"1648984827-136","https://buy.carfirst.com/used-cars","Honda City 1.3 i-VTEC Prosmatec 2018
                                    
                                    
                                                                                2018 
                                                                                                                        City 
                                                                                                                        101,707 
                                                                            
                                    
                                                                              PKR 2,650,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-city-2018-1-3-i-vtec-prosmatec-pk-1171825?car=warranty","Honda City 1.3 i-VTEC Prosmatec 2018","Honda","1.3 i-VTEC Prosmatec","2018","City","101,707","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2018","Petrol","Lahore","B","Silver","1 Owner 

                            0 Accident","PKR 2,650,000","8","https://buy.carfirst.com/used-cars?page=8","automatic","Assembly"
"1648985041-220","https://buy.carfirst.com/used-cars","Suzuki Swift 1.3 DX 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Swift 
                                                                                                                        118,747 
                                                                            
                                    
                                                                              PKR 1,380,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/suzuki-swift-2015-1-3-dx-pk-1129525","Suzuki Swift 1.3 DX 2015","Suzuki","1.3 DX","2015","Swift","118,747","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2015","Petrol","Peshawar","B","White","1 Owner 

                            0 Accident","PKR 1,380,000","2","https://buy.carfirst.com/used-cars?page=2","manual","Assembly"
"1648985080-237","https://buy.carfirst.com/used-cars","Toyota Corolla 1.6 Altis Super ECT Old Key 2016
                                    
                                    
                                                                                2016 
                                                                                                                        Corolla 
                                                                                                                        84,431 
                                                                            
                                    
                                                                              PKR 2,850,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/toyota-corolla-2016-1-6-altis-super-ect-old-key-pk-1104413?car=warranty","Toyota Corolla 1.6 Altis Super ECT Old Key 2016","Toyota","1.6 Altis Super ECT Old Key","2016","Corolla","84,431","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2016","Petrol","Lahore","C","Black","2 Owner 

                            0 Accident","PKR 2,850,000","","","automatic","Assembly"
"1648984865-151","https://buy.carfirst.com/used-cars","Honda Fit 1.5 Hybrid 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Fit 
                                                                                                                        75,443 
                                                                            
                                    
                                                                              PKR 2,450,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-fit-2014-1-5-hybrid-pk-1169566","Honda Fit 1.5 Hybrid 2014","Honda","1.5 Hybrid","2014","Fit","75,443","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2019","PetrolElectric","Islamabad","D","White","2 Owner 

                            0 Accident","PKR 2,450,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648985055-226","https://buy.carfirst.com/used-cars","Toyota Corolla 1.3 GLI 2012
                                    
                                    
                                                                                2012 
                                                                                                                        Corolla 
                                                                                                                        108,463 
                                                                            
                                    
                                                                              PKR 1,900,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/toyota-corolla-2012-1-3-gli-pk-1142072","Toyota Corolla 1.3 GLI 2012","Toyota","1.3 GLI","2012","Corolla","108,463","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2012","Petrol","Islamabad","D","Black","3 Owner 

                            0 Accident","PKR 1,900,000","2","https://buy.carfirst.com/used-cars?page=2","manual","Assembly"
"1648985069-232","https://buy.carfirst.com/used-cars","Toyota Corolla 1.3 XLI - Old Shape 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Corolla 
                                                                                                                        136,821 
                                                                            
                                    
                                                                              PKR 2,000,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/toyota-corolla-2014-1-3-xli-old-shape-pk-1132297","Toyota Corolla 1.3 XLI - Old Shape 2014","Toyota","1.3 XLI - Old Shape","2014","Corolla","136,821","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2014","Petrol","Islamabad","C","White","2 Owner 

                            0 Accident","PKR 2,000,000","","","manual","Assembly"
"1648985090-241","https://buy.carfirst.com/used-cars","Toyota Hilux 3.0D Vigo Champ G 2012
                                    
                                    
                                                                                2012 
                                                                                                                        Hilux 
                                                                                                                        86,200 
                                                                            
                                    
                                                                              PKR 5,200,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/toyota-hilux-2012-3-0d-vigo-champ-g-pk-1172207","Toyota Hilux 3.0D Vigo Champ G 2012","Toyota","3.0D Vigo Champ G","2012","Hilux","86,200","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2016","Diesel","Karachi","B","White","2 Owner 

                            0 Accident","PKR 5,200,000","","","automatic","Assembly"
"1648984872-154","https://buy.carfirst.com/used-cars","Honda Vezel 1.5 Hybrid Z 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Vezel 
                                                                                                                        71,402 
                                                                            
                                    
                                                                              PKR 3,200,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-vezel-2015-1-5-hybrid-z-pk-1171936","Honda Vezel 1.5 Hybrid Z 2015","Honda","1.5 Hybrid Z","2015","Vezel","71,402","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2015","PetrolElectric","Karachi","C","Red","3 Owner 

                            0 Accident","PKR 3,200,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984849-144","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC Oriel CVT UG 2017
                                    
                                    
                                                                                2017 
                                                                                                                        Civic 
                                                                                                                        85,518 
                                                                            
                                    
                                                                              PKR 3,480,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-civic-2017-1-8-i-vtec-oriel-cvt-ug-pk-1176401?car=warranty","Honda Civic 1.8 i-VTEC Oriel CVT UG 2017","Honda","1.8 i-VTEC Oriel CVT UG","2017","Civic","85,518","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2017","Petrol","Lahore","A","White","3 Owner 

                            0 Accident","PKR 3,480,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984842-141","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC 2013
                                    
                                    
                                                                                2013 
                                                                                                                        Civic 
                                                                                                                        206,484 
                                                                            
                                    
                                                                              PKR 2,120,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-civic-2013-1-8-i-vtec-pk-1175393","Honda Civic 1.8 i-VTEC 2013","Honda","1.8 i-VTEC","2013","Civic","206,484","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2013","Petrol","Lahore","B","White","2 Owner 

                            0 Accident","PKR 2,120,000","7","https://buy.carfirst.com/used-cars?page=7","manual","Assembly"
"1648984931-177","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2021
                                    
                                    
                                                                                2021 
                                                                                                                        Alto 
                                                                                                                        18,699 
                                                                            
                                    
                                                                              PKR 1,750,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2021-660cc-vxr-pk-1174211?car=warranty","Suzuki Alto 660cc VXR 2021","Suzuki","660cc VXR","2021","Alto","18,699","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","A","White","1 Owner 

                            0 Accident","PKR 1,750,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
"1648984898-164","https://buy.carfirst.com/used-cars","Nissan Dayz 660cc Highway Star X 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Dayz 
                                                                                                                        100,221 
                                                                            
                                    
                                                                              PKR 1,680,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/nissan-dayz-2014-660cc-highway-star-x-pk-1178280","Nissan Dayz 660cc Highway Star X 2014","Nissan","660cc Highway Star X","2014","Dayz","100,221","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2017","Petrol","Karachi","B","Black","1 Owner 

                            0 Accident","PKR 1,680,000","6","https://buy.carfirst.com/used-cars?page=6","automatic","Assembly"
"1648985092-242","https://buy.carfirst.com/used-cars","Toyota Land Cruiser 2.7 Prado TXL 2004
                                    
                                    
                                                                                2004 
                                                                                                                        Land Cruiser 
                                                                                                                        129,751 
                                                                            
                                    
                                                                              PKR 5,600,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/toyota-land-cruiser-2004-2-7-prado-txl-pk-1173081","Toyota Land Cruiser 2.7 Prado TXL 2004","Toyota","2.7 Prado TXL","2004","Land Cruiser","129,751","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","Petrol","Karachi","B","Black","7 Owner 

                            0 Accident","PKR 5,600,000","","","automatic","Assembly"
"1648984860-149","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC Prosmatec 2008
                                    
                                    
                                                                                2008 
                                                                                                                        Civic 
                                                                                                                        101,438 
                                                                            
                                    
                                                                              PKR 1,350,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-civic-2008-1-8-i-vtec-prosmatec-pk-1173203","Honda Civic 1.8 i-VTEC Prosmatec 2008","Honda","1.8 i-VTEC Prosmatec","2008","Civic","101,438","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","Petrol","Karachi","D","Black","3 Owner 

                            0 Accident","PKR 1,350,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984837-140","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC 2010
                                    
                                    
                                                                                2010 
                                                                                                                        Civic 
                                                                                                                        104,431 
                                                                            
                                    
                                                                              PKR 1,520,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-civic-2010-1-8-i-vtec-pk-836262","Honda Civic 1.8 i-VTEC 2010","Honda","1.8 i-VTEC","2010","Civic","104,431","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","Petrol","","C","White","null","3 Owner 

                            0 Accident","PKR 1,520,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Registered City
                              
                              
                                Karachi"
"1648984870-153","https://buy.carfirst.com/used-cars","Honda Vezel 1.5 Hybrid X 2014
                                    
                                    
                                                                                2014 
                                                                                                                        Vezel 
                                                                                                                        71,263 
                                                                            
                                    
                                                                              PKR 3,150,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Lahore Ware House
                                                                                                                        , Lahore","https://buy.carfirst.com/used-cars/honda-vezel-2014-1-5-hybrid-x-pk-1099219","Honda Vezel 1.5 Hybrid X 2014","Honda","1.5 Hybrid X","2014","Vezel","71,263","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore","2017","PetrolElectric","Islamabad","B","White","3 Owner 

                            0 Accident","PKR 3,150,000","7","https://buy.carfirst.com/used-cars?page=7","automatic","Assembly"
"1648984905-167","https://buy.carfirst.com/used-cars","Suzuki Alto 1.0 VXR 2011
                                    
                                    
                                                                                2011 
                                                                                                                        Alto 
                                                                                                                        144,948 
                                                                            
                                    
                                                                              PKR 860,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2011-1-0-vxr-pk-1173674","Suzuki Alto 1.0 VXR 2011","Suzuki","1.0 VXR","2011","Alto","144,948","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2011","PetrolCompressedNaturalGas","Karachi","C","White","2 Owner 

                            0 Accident","PKR 860,000","6","https://buy.carfirst.com/used-cars?page=6","manual","Assembly"
"1648984936-179","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2021
                                    
                                    
                                                                                2021 
                                                                                                                        Alto 
                                                                                                                        20,727 
                                                                            
                                    
                                                                              PKR 1,750,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2021-660cc-vxr-pk-1173528?car=warranty","Suzuki Alto 660cc VXR 2021","Suzuki","660cc VXR","2021","Alto","20,727","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","A","White","1 Owner 

                            0 Accident","PKR 1,750,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
