web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648914541-492","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6059301","Honda Civic Oriel 2022","5 km","null","null","Petrol","Un-Registered","Black","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648914532-489","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2017 XLi VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-islamabad-6065970","Toyota Corolla XLi VVTi 2017","30,000 km","null","null","Petrol","Islamabad","White","1300 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 29.5 lacs"
"1648914696-545","https://www.pakwheels.com/used-cars/search/-/","Changan Karvaan  2022 Plus for Sale","https://www.pakwheels.com/used-cars/changan-karvaan-2022-for-sale-in-karachi-6066012","Changan Karvaan Plus 2022","5 km","null","null","Petrol","Un-Registered","White","1000 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 21.25 lacs"
"1648914789-573","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2007 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-rawalpindi-5817176","Suzuki Cultus VXR 2007","100,000 km","null","null","Petrol","Lahore","White","1000 cc","null","null","null","","","PKR 6.75 lacs"
"1648914290-414","https://www.pakwheels.com/used-cars/search/-/","Honda City  2019 1.3 i-VTEC Prosmatec for Sale
                    9.6/10","https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-5957033","Honda City 1.3 i-VTEC Prosmatec 2019","31,424 km","37 Commercial Zone, Liberty Market Lahore","null","Petrol","Karachi","White","1300 cc","null","null","Automatic","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 27 lacs"
"1648914702-547","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2006 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2006-for-sale-in-lahore-6066013","Suzuki Cultus VXL 2006","170,000 km","null","null","Petrol","Lahore","Gold","1000 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 6.5 lacs"
"1648914754-563","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2011 VTi Oriel Prosmatec 1....","https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-6066024","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011","130,000 km","null","null","Petrol","Lahore","Grey","1800 cc","null","null","Automatic","","","PKR 22.85 lacs"
"1648914749-562","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Mira  2010 Custom X for Sale","https://www.pakwheels.com/used-cars/daihatsu-mira-2010-for-sale-in-gujranwala-6066021","Daihatsu Mira Custom X 2010","65,000 km","null","null","Petrol","Lahore","Gold","660 cc","Imported","null","Automatic","","","PKR 11.9 lacs"
"1648914296-416","https://www.pakwheels.com/used-cars/search/-/","KIA Sportage  2020 AWD for Sale","https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-4272060","KIA Sportage AWD 2020","180 km","null","null","Petrol","Un-Registered","Black","2000 cc","null","null","Automatic","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 59 lacs"
"1648914690-543","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2020 Auto Gear Shift for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2020-for-sale-in-karachi-6043123","Suzuki Cultus Auto Gear Shift 2020","28,000 km","null","null","Petrol","Karachi","White","1000 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 24.95 lacs"
"1648914486-472","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2008 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2008-for-sale-in-rahim-yar-khan-6065951","Suzuki Alto VXR 2008","140,000 km","null","null","Petrol","Sindh","Green","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 6.4 lacs"
"1648914364-433","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2019 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-bahawalpur-6051584","Suzuki Alto VXR 2019","45,000 km","Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur","null","Petrol","Lahore","White","660 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 16.25 lacs"
"1648914361-432","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2004 SE Saloon Automatic for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-lahore-6065929","Toyota Corolla SE Saloon Automatic 2004","260,000 km","null","null","Petrol","Lahore","Metallic Green","1600 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 18.5 lacs"
"1648914786-572","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2012 VTi 1.8 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-6066034","Honda Civic VTi 1.8 i-VTEC 2012","82,000 km","null","null","Petrol","Sindh","Black","1800 cc","null","null","null","","","PKR 22 lacs"
"1648914389-441","https://www.pakwheels.com/used-cars/search/-/","Toyota Yaris  2021 ATIV CVT 1.3 for Sale","https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-gujranwala-6065935","Toyota Yaris ATIV CVT 1.3 2021","9,000 km","null","2021","Petrol","Gujranwala","Black","1300 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 30 lacs"
