web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648913330-313","https://www.pakwheels.com/used-cars/search/-/","Suzuki Wagon R  2017 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-jhelum-5506799","Suzuki Wagon R VXL 2017","69,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 16.5 lacs"
"1648913149-276","https://www.pakwheels.com/used-cars/search/-/","Nissan Dayz  2019  for Sale","https://www.pakwheels.com/used-cars/nissan-dayz-2019-for-sale-in-lahore-6065914","Nissan Dayz 2019","60,000 km","null","null","Petrol","Lahore","Maroon","660 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 18.2 lacs"
"1648913302-307","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2018 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-hyderabad-6008354","Toyota Corolla Altis Grande CVT-i 1.8 2018","64,000 km","null","null","Petrol","Karachi","White","1800 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 35.5 lacs"
"1648913105-267","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2017 Altis Automatic 1.6 for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-6065906","Toyota Corolla Altis Automatic 1.6 2017","61,000 km","null","null","Petrol","Lahore","White","1600 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 33.5 lacs"
"1648913388-325","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6040707","Honda Civic Oriel 2022","5 km","null","null","Petrol","Un-Registered","Grey","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648913255-297","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2019 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-bahawalpur-6051584","Suzuki Alto VXR 2019","45,000 km","Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur","null","Petrol","Lahore","White","660 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 16.25 lacs"
"1648913717-393","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2004 VTi Oriel 1.6 for Sale","https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-6066004","Honda Civic VTi Oriel 1.6 2004","130,000 km","null","null","Petrol","Sindh","White","1600 cc","null","null","Automatic","","","PKR 13.5 lacs"
"1648913525-353","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 AT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-6044885","KIA Picanto 1.0 AT 2021","4,700 km","null","2021","Petrol","Punjab","White","1000 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 25.25 lacs"
"1648913164-279","https://www.pakwheels.com/used-cars/search/-/","Toyota Starlet  1981 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-starlet-1981-for-sale-in-islamabad-6065916","Toyota Starlet 1.0 1981","58,000 km","null","null","Petrol","Karachi","Turquoise","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 2.5 lacs"
"1648913600-368","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-V...","https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-6065980","Honda Civic VTi Prosmatec 1.8 i-VTEC 2014","97,000 km","null","null","Petrol","Karachi","White","1800 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 26 lacs"
"1648913073-260","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2013 EURO II for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-karachi-6012007","Suzuki Cultus EURO II 2013","48,000 km","null","null","Petrol","Sindh","Smokegreen","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 11 lacs"
"1648913140-274","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Cuore  2007 CX for Sale","https://www.pakwheels.com/used-cars/daihatsu-cuore-2007-for-sale-in-islamabad-6065912","Daihatsu Cuore CX 2007","89,000 km","null","null","Petrol","Islamabad","Silver","800 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 8.95 lacs"
"1648913288-304","https://www.pakwheels.com/used-cars/search/-/","Suzuki Every  2009 PA for Sale","https://www.pakwheels.com/used-cars/suzuki-every-2009-for-sale-in-kohat-6065936","Suzuki Every PA 2009","85,000 km","null","null","Petrol","Islamabad","White","660 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 13.65 lacs"
"1648913694-388","https://www.pakwheels.com/used-cars/search/-/","Honda Vezel  2016 Hybrid Z Honda Sensing  for ...","https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-islamabad-6066000","Honda Vezel Hybrid Z Honda Sensing  2016","68,000 km","null","null","Petrol","Islamabad","White","1500 cc","Imported","null","Automatic","","","PKR 42.5 lacs"
"1648913529-354","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2007 VTi Oriel Prosmatec 1....","https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-lahore-6037687","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2007","10,000 km","null","null","Petrol","Karachi","Grey","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 15.7 lacs"
"1648913619-372","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2009 GLi 1.3 VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-rawalpindi-6065987","Toyota Corolla GLi 1.3 VVTi 2009","144,000 km","null","null","Petrol","Lahore","Green","1300 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 17.8 lacs"
"1648913130-272","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Terios  2007  for Sale","https://www.pakwheels.com/used-cars/daihatsu-terios-2007-for-sale-in-lahore-6065911","Daihatsu Terios 2007","150,000 km","null","null","Petrol","Lahore","Blue","1500 cc","Imported","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 20.5 lacs"
